circuit,n_qubits,method,swaps,twoq,depth,twoq_depth,fidelity,mean_2q_err,static_cost,wall_s,qiskit-o1_swaps,qiskit-o1_twoq,qiskit-o1_depth,qiskit-o1_fidelity,qiskit-o1_mean_2q_err,qiskit-o1_static_cost,qiskit-o3_swaps,qiskit-o3_twoq,qiskit-o3_depth,qiskit-o3_fidelity,qiskit-o3_mean_2q_err,qiskit-o3_static_cost
queko_BIGD/20QBT_45CYC_.0D1_.8D2_5,20,rl_multistart_routed,125,599,513,599,0.02268684303844822,0.0033826340837496086,722.0,0.506,141,647,585,0.018655857176714828,0.0035635918557638843,898.0,94,454,376,0.05308446624677625,0.0036553056305355662,854.0
queko_BIGD/20QBT_45CYC_.0D1_.8D2_6,20,hybrid_sabre_adopted,128,612,499,612,0.01980307696883506,0.003668414109064232,786.0,0.553,128,612,499,0.01980307696883506,0.003668414109064232,786.0,84,412,364,0.07792157838212495,0.003513894185036855,784.0
queko_BIGD/20QBT_45CYC_.0D1_.8D2_7,20,hybrid_sabre_adopted,124,594,446,594,0.028477480177610585,0.0034462391393463294,898.0,0.356,124,594,446,0.028477480177610585,0.0034462391393463294,898.0,95,451,376,0.06219365546992339,0.0035143397376932216,906.0
queko_BIGD/20QBT_45CYC_.0D1_.8D2_8,20,hybrid_sabre_adopted,124,594,468,594,0.025898716618609784,0.0034725497163701907,824.0,0.508,124,594,468,0.025898716618609784,0.0034725497163701907,824.0,99,471,398,0.05887824928314897,0.003639430420202066,960.0
queko_BIGD/20QBT_45CYC_.0D1_.8D2_9,20,rl_multistart_routed,137,643,504,643,0.017604443686659275,0.0034539863207213983,754.0,0.433,139,649,516,0.019974953529849963,0.0034579370048276508,940.0,95,459,369,0.06110957951579352,0.0034852368032919144,846.0
queko_BIGD/20QBT_45CYC_.1D1_.1D2_0,20,rl_multistart_routed,17,90,145,90,0.6078645079571705,0.002805328755491102,114.0,0.593,15,84,110,0.5933865306017949,0.0032649948836710138,132.0,5,40,53,0.7717349797813118,0.0032487732255906273,120.0
queko_BIGD/20QBT_45CYC_.1D1_.1D2_1,20,hybrid_sabre_adopted,14,81,85,81,0.597429079295015,0.003205557458939587,112.0,0.437,14,81,85,0.597429079295015,0.003205557458939587,112.0,11,58,71,0.6747343948667742,0.00389906791636101,146.0
queko_BIGD/20QBT_45CYC_.1D1_.1D2_2,20,hybrid_sabre_adopted,11,68,106,68,0.6480879464398518,0.003532804427978124,94.0,0.577,11,68,106,0.6480879464398518,0.003532804427978124,94.0,5,38,73,0.7692434614464686,0.0032902664371428007,150.0
queko_BIGD/20QBT_45CYC_.1D1_.1D2_3,20,hybrid_sabre_adopted,10,67,120,67,0.6289765269303345,0.003335867283427588,128.0,0.575,10,67,120,0.6289765269303345,0.003335867283427588,128.0,3,36,48,0.7664135615881708,0.0038077096592352205,100.0
queko_BIGD/20QBT_45CYC_.1D1_.1D2_4,20,rl_multistart_routed,16,87,105,87,0.5723024754537986,0.0030935463651497385,116.0,0.353,16,87,98,0.5798907037223991,0.0033516099895096805,142.0,8,57,80,0.701715001481592,0.003309714248533589,138.0
queko_BIGD/20QBT_45CYC_.1D1_.1D2_5,20,hybrid_sabre_adopted,8,61,62,61,0.6790939880466695,0.003132140987408755,102.0,0.403,8,61,62,0.6790939880466695,0.003132140987408755,102.0,7,52,51,0.733507835919226,0.0030688178431957395,100.0
queko_BIGD/20QBT_45CYC_.1D1_.1D2_6,20,hybrid_sabre_adopted,13,78,91,78,0.6156238239885516,0.0030629877781389006,146.0,0.344,13,78,91,0.6156238239885516,0.0030629877781389006,146.0,8,51,58,0.71385889496604,0.003563227217457525,130.0
queko_BIGD/20QBT_45CYC_.1D1_.1D2_7,20,hybrid_sabre_adopted,13,74,112,74,0.6137509301438034,0.003505371002292559,126.0,0.353,13,74,112,0.6137509301438034,0.003505371002292559,126.0,8,49,74,0.7118707759192432,0.0033489861031887375,114.0
queko_BIGD/20QBT_45CYC_.1D1_.1D2_8,20,hybrid_sabre_adopted,14,77,95,77,0.5983776493439221,0.0034546058279306974,116.0,0.589,14,77,95,0.5983776493439221,0.0034546058279306974,116.0,5,44,59,0.7651870820105434,0.003537363541400204,144.0
queko_BIGD/20QBT_45CYC_.1D1_.1D2_9,20,hybrid_sabre_adopted,10,63,68,63,0.6415151172403184,0.0034873563305694026,100.0,0.602,10,63,68,0.6415151172403184,0.0034873563305694026,100.0,7,42,60,0.758277731063451,0.003392894998028691,126.0
queko_BIGD/20QBT_45CYC_.1D1_.2D2_0,20,rl_multistart_routed,38,190,216,190,0.3106749390578943,0.0032212465460861434,230.0,0.621,42,202,177,0.2877719029128612,0.003362006004872347,352.0,32,152,155,0.3891299014513406,0.0034010356253834522,256.0
queko_BIGD/20QBT_45CYC_.1D1_.2D2_1,20,hybrid_sabre_adopted,43,209,186,209,0.2722096745710614,0.003437912170071749,338.0,0.428,43,209,186,0.2722096745710614,0.003437912170071749,338.0,20,114,140,0.4850560019997817,0.0032060969830720173,288.0
queko_BIGD/20QBT_45CYC_.1D1_.2D2_2,20,rl_multistart_routed,34,174,205,174,0.334126999878888,0.003446454219143994,226.0,0.547,37,183,186,0.3107241817517521,0.003258027801039382,294.0,22,116,117,0.48109366137206633,0.0035096102227141117,222.0
queko_BIGD/20QBT_45CYC_.1D1_.2D2_3,20,hybrid_sabre_adopted,34,170,139,170,0.3012156640851121,0.0037621956661959993,250.0,0.398,34,170,139,0.3012156640851121,0.0037621956661959993,250.0,25,127,116,0.45099087387888454,0.0033499124158147685,228.0
queko_BIGD/20QBT_45CYC_.1D1_.2D2_4,20,hybrid_sabre_adopted,36,190,175,190,0.2864048141631497,0.003529758142232082,340.0,0.479,36,190,175,0.2864048141631497,0.003529758142232082,340.0,37,179,201,0.307682320037473,0.0037690473477765656,334.0
queko_BIGD/20QBT_45CYC_.1D1_.2D2_5,20,rl_multistart_routed,32,170,142,170,0.33488309374290665,0.003460926732244007,256.0,0.405,34,176,181,0.3171018984072683,0.003662032684580824,296.0,12,82,83,0.5989720095880453,0.003663931425250086,292.0
queko_BIGD/20QBT_45CYC_.1D1_.2D2_6,20,rl_multistart_routed,28,152,176,152,0.3766319933999504,0.0033300700424682313,226.0,0.406,32,164,158,0.37061635190676,0.0033052598507537587,260.0,23,119,120,0.5011967718769933,0.0032629673112058275,242.0
